Keywords,Text,Target 1,Stance 1,Domain,In Use,seen?,Ori Text
tictok,Cinemas ban teens wearing suits over Minions TikTok trend bbc.co.uk Minions: Cinemas ban teens in suits over trend Young people following the TikTok trend are accused of disturbing others.,The above text entails Minions TikTok trend!,AGAINST,consumption_and_entertainment_domain,1,1,"Cinemas ban teens wearing suits over Minions TikTok trend
bbc.co.uk
Minions: Cinemas ban teens in suits over #gentleminions trend
Young people following the #gentleminions TikTok trend are accused of disturbing others.
43
114
436"
Ukraine,"The clown Zizek joins Paul Mason's ""let's strengthen NATO as a tool for world peace"" brigade. Let me correct that, he is AGAINST pacifism, he is for strengthening NATO in order to defend ""poor little Belgium Ukraine"".",The premise entails the hypothesis Zizek!,AGAINST,world_event_domain,1,1,"The clown Zizek joins Paul Mason's ""let's strengthen NATO as a tool for world peace"" brigade. Let me correct that, he is AGAINST pacifism, he is for strengthening NATO in order to defend ""poor little Belgium/Ukraine"".
1
6
22"
Ukraine,"The clown Zizek joins Paul Mason's ""let's strengthen NATO as a tool for world peace"" brigade. Let me correct that, he is AGAINST pacifism, he is for strengthening NATO in order to defend ""poor little Belgium Ukraine"".",The premise has the entailment relation with the hypothesis pacifism!,FAVOR,world_event_domain,1,1,"The clown Zizek joins Paul Mason's ""let's strengthen NATO as a tool for world peace"" brigade. Let me correct that, he is AGAINST pacifism, he is for strengthening NATO in order to defend ""poor little Belgium/Ukraine"".
1
6
22"
gender equality,"Scottish Parliament has passed a bill allowing some but not all trans people to obtain Gender Recognition Certificates without needing a doctor s permission. Once implemented it will be a positive, albeit small, step to trans equality. 1 3 18 521 7,887 167.8K",The premise entails the hypothesis Scottish Parliament!,FAVOR,rights_domain,1,1,"Scottish Parliament has passed a bill allowing some (but not all) trans people to obtain Gender Recognition Certificates without needing a doctor’s permission. Once implemented it will be a positive, albeit small, step to trans equality. #GRRScotland 1/3
18
521
7,887
167.8K"
gender equality,"Scottish Parliament has passed a bill allowing some but not all trans people to obtain Gender Recognition Certificates without needing a doctor s permission. Once implemented it will be a positive, albeit small, step to trans equality. 1 3 18 521 7,887 167.8K",The premise has entailment relation with Gender Recognition Certificates!,FAVOR,rights_domain,1,1,"Scottish Parliament has passed a bill allowing some (but not all) trans people to obtain Gender Recognition Certificates without needing a doctor’s permission. Once implemented it will be a positive, albeit small, step to trans equality. #GRRScotland 1/3
18
521
7,887
167.8K"
gender equality,"Scottish Parliament has passed a bill allowing some but not all trans people to obtain Gender Recognition Certificates without needing a doctor s permission. Once implemented it will be a positive, albeit small, step to trans equality. 1 3 18 521 7,887 167.8K",The premise has entailment relation with trans equality!,FAVOR,rights_domain,1,1,"Scottish Parliament has passed a bill allowing some (but not all) trans people to obtain Gender Recognition Certificates without needing a doctor’s permission. Once implemented it will be a positive, albeit small, step to trans equality. #GRRScotland 1/3
18
521
7,887
167.8K"
cultural output,"Total output of culture industry in SW China's grew more than fourfold to 6.9 bln yuan 971.9 mln over the past decade. Over the period, more than 400 mln yuan, earmarked by both central regional govts, was spent on protection of intangible cultural heritage. Xinhua 2",The above text entails central regional govts!,NONE,education_and_culture_domain,1,1,"Total output of culture industry in SW China's #Tibet grew more than fourfold to 6.9 bln yuan (~$971.9 mln) over the past decade.

Over the period, more than 400 mln yuan, earmarked by both central & regional govts, was spent on protection of intangible cultural heritage. /Xinhua
2"
men's football,Senior Men's football team coach Angus Eve takes charge of the national team session at the Ato Boldon stadium. Eve says sessions have been intense while players have enjoyed sessions at same time tttliveonline,The above text entails Senior Men's football team coach!,NONE,sports_domain,1,1,"Senior Men's football team coach Angus Eve takes charge of the national team session at the Ato Boldon stadium. Eve says sessions have been intense while players have enjoyed sessions at same time 
@tttliveonline
2
7
10"
men's football,Senior Men's football team coach Angus Eve takes charge of the national team session at the Ato Boldon stadium. Eve says sessions have been intense while players have enjoyed sessions at same time tttliveonline,The premise entails the hypothesis Angus Eve!,NONE,sports_domain,1,1,"Senior Men's football team coach Angus Eve takes charge of the national team session at the Ato Boldon stadium. Eve says sessions have been intense while players have enjoyed sessions at same time 
@tttliveonline
2
7
10"
NATO,"With news of Turkey, Finland and Sweden getting along and paving the way for 2 new NATO members, we have a cool side effect: Putin's dacha in Vyborg is now... 27 KMS from NATO land. He will never be able to enjoy the place again, will literally hear NATO planes training nearby",The premise entails the hypothesis NATO members!,FAVOR,world_event_domain,1,1,"With news of Turkey, Finland and Sweden getting along and paving the way for 2 new NATO members, we have a cool side effect:
Putin's dacha in Vyborg is now... 27 KMS from NATO land. He will never be able to enjoy the place again, will literally hear NATO planes training nearby
12
22
164"
NATO,"With news of Turkey, Finland and Sweden getting along and paving the way for 2 new NATO members, we have a cool side effect: Putin's dacha in Vyborg is now... 27 KMS from NATO land. He will never be able to enjoy the place again, will literally hear NATO planes training nearby",This implies the entailment relation with Putin!,AGAINST,world_event_domain,1,1,"With news of Turkey, Finland and Sweden getting along and paving the way for 2 new NATO members, we have a cool side effect:
Putin's dacha in Vyborg is now... 27 KMS from NATO land. He will never be able to enjoy the place again, will literally hear NATO planes training nearby
12
22
164"
NCAA,"FINAL: DiamondHeels 15, Hofstra 4 UNC clubs five home runs including two by Mac Horvath and Max Carlson tosses 5 2 3 solid innings 6 H, 3 R, 2 ER, 3 BB, 6 K as the Tar Heels open NCAA Tournament play with a dominant win. UNC will face Georgia or VCU at 7 p.m. Saturday.",The above text entails Mac Horvath!,NONE,sports_domain,1,1,"FINAL: 
@DiamondHeels
 15, Hofstra 4

UNC clubs five home runs – including two by Mac Horvath – and Max Carlson tosses 5 2/3 solid innings (6 H, 3 R, 2 ER, 3 BB, 6 K) as the Tar Heels open NCAA Tournament play with a dominant win. UNC will face Georgia or VCU at 7 p.m. Saturday.
1
11
143"
NCAA,"FINAL: DiamondHeels 15, Hofstra 4 UNC clubs five home runs including two by Mac Horvath and Max Carlson tosses 5 2 3 solid innings 6 H, 3 R, 2 ER, 3 BB, 6 K as the Tar Heels open NCAA Tournament play with a dominant win. UNC will face Georgia or VCU at 7 p.m. Saturday.",This implies the entailment relation with Max Carlson!,FAVOR,sports_domain,1,1,"FINAL: 
@DiamondHeels
 15, Hofstra 4

UNC clubs five home runs – including two by Mac Horvath – and Max Carlson tosses 5 2/3 solid innings (6 H, 3 R, 2 ER, 3 BB, 6 K) as the Tar Heels open NCAA Tournament play with a dominant win. UNC will face Georgia or VCU at 7 p.m. Saturday.
1
11
143"
reels,Nina isn't allowed on the mic - Phasmophobia The following media includes potentially sensitive content. Change settings View,The premise entails the hypothesis Nina!,NONE,consumption_and_entertainment_domain,1,1,"Nina isn't allowed on the mic - Phasmophobia #phasmo #phasmophobia #phasmophobiagame #phasmotok #steam #twitch #gamer #streamer #youtube #live #funny #smallstreamer #tiktok #twitchclips #twitchstreamer #reels #shorts #youtubeshorts #ytshorts #followforupdates #playstation #xbox
The following media includes potentially sensitive content. Change settings
View
1
5"
reels,Nina isn't allowed on the mic - Phasmophobia The following media includes potentially sensitive content. Change settings View,The premise has the entailment relation with the hypothesis Phasmophobia!,NONE,consumption_and_entertainment_domain,1,1,"Nina isn't allowed on the mic - Phasmophobia #phasmo #phasmophobia #phasmophobiagame #phasmotok #steam #twitch #gamer #streamer #youtube #live #funny #smallstreamer #tiktok #twitchclips #twitchstreamer #reels #shorts #youtubeshorts #ytshorts #followforupdates #playstation #xbox
The following media includes potentially sensitive content. Change settings
View
1
5"
BLM,"Just seeing black creators being apart of the Dark alliance launch is amazing. I know if it was before BLM though, we would barely even be considered for activations campaigns",This implies the entailment relation with Black creators!,FAVOR,rights_domain,1,1,"Just seeing black creators being apart of the Dark alliance launch is amazing. I know if it was before BLM though,  we would barely even be considered for activations/campaigns
1
21
132"
Disney,"Mickey Mouse Funhouse, the successor to Mickey Mouse Clubhouse, had a new poster reveal! The new series premieres on Disney Channel and Disney Junior on August 20th!",The premise has the entailment relation with the hypothesis Mickey Mouse Funhouse!,FAVOR,consumption_and_entertainment_domain,1,1,"Mickey Mouse Funhouse, the successor to Mickey Mouse Clubhouse, had a new poster reveal!

The new series premieres on Disney Channel and Disney Junior on August 20th!
10
16
78"
Disney,"Mickey Mouse Funhouse, the successor to Mickey Mouse Clubhouse, had a new poster reveal! The new series premieres on Disney Channel and Disney Junior on August 20th!",The premise entails the hypothesis Disney Channel!,FAVOR,consumption_and_entertainment_domain,1,1,"Mickey Mouse Funhouse, the successor to Mickey Mouse Clubhouse, had a new poster reveal!

The new series premieres on Disney Channel and Disney Junior on August 20th!
10
16
78"
Disney,"Mickey Mouse Funhouse, the successor to Mickey Mouse Clubhouse, had a new poster reveal! The new series premieres on Disney Channel and Disney Junior on August 20th!",The premise entails the hypothesis Disney Junior!,FAVOR,consumption_and_entertainment_domain,1,1,"Mickey Mouse Funhouse, the successor to Mickey Mouse Clubhouse, had a new poster reveal!

The new series premieres on Disney Channel and Disney Junior on August 20th!
10
16
78"
Russia,"It is time for Chancellor Olaf Scholz to finally decide on Berlin's position on the war unleashed by Russia against Ukraine, Volodymyr Zelenskyy said. It is impossible to do the split ""between and ties with Ukrainian president in an interview with ZDF. 44 314 1,999",The premise has the entailment relation with the hypothesis war!,NONE,world_event_domain,0,1,"It is time for #German Chancellor Olaf Scholz to finally decide on Berlin's position on the war unleashed by Russia against Ukraine, Volodymyr Zelenskyy said.

It is impossible to do the split ""between #Ukraine and ties with #Russia,"" Ukrainian president in an interview with ZDF.
44
314
1,999"
Russia,"It is time for Chancellor Olaf Scholz to finally decide on Berlin's position on the war unleashed by Russia against Ukraine, Volodymyr Zelenskyy said. It is impossible to do the split ""between and ties with Ukrainian president in an interview with ZDF. 44 314 1,999",This implies the entailment relation with Volodymyr Zelenskyy!,NONE,world_event_domain,1,1,"It is time for #German Chancellor Olaf Scholz to finally decide on Berlin's position on the war unleashed by Russia against Ukraine, Volodymyr Zelenskyy said.

It is impossible to do the split ""between #Ukraine and ties with #Russia,"" Ukrainian president in an interview with ZDF.
44
314
1,999"
online shopping,The relativism of modernism has forced science to research the obvious. New swedish research suggests that classical streetscapes can help cities centers combat online shopping. Who could have thought? gebiedsontwikkeling.nu Klassieke architectuur is h t wapen in de strijd tegen online winkelen De invloed van modernistische architectuur in Westerse stadscentra wordt de laatste jaren steeds groter. Zweeds onderzoek laat zien dat stadscentra juist veel meer profiteren van klassieke architec...,The above text entails classical streetscapes!,FAVOR,consumption_and_entertainment_domain,1,1,"The relativism of modernism has forced science to research the obvious. New swedish research suggests that classical streetscapes can help cities centers combat online shopping. Who could have thought?
gebiedsontwikkeling.nu
Klassieke architectuur is hét wapen in de strijd tegen online winkelen
De invloed van modernistische architectuur in Westerse stadscentra wordt de laatste jaren steeds groter. Zweeds onderzoek laat zien dat stadscentra juist veel meer profiteren van klassieke architec...
20
53"
online shopping,The relativism of modernism has forced science to research the obvious. New swedish research suggests that classical streetscapes can help cities centers combat online shopping. Who could have thought? gebiedsontwikkeling.nu Klassieke architectuur is h t wapen in de strijd tegen online winkelen De invloed van modernistische architectuur in Westerse stadscentra wordt de laatste jaren steeds groter. Zweeds onderzoek laat zien dat stadscentra juist veel meer profiteren van klassieke architec...,The premise has the entailment relation with the hypothesis online shopping!,AGAINST,consumption_and_entertainment_domain,1,1,"The relativism of modernism has forced science to research the obvious. New swedish research suggests that classical streetscapes can help cities centers combat online shopping. Who could have thought?
gebiedsontwikkeling.nu
Klassieke architectuur is hét wapen in de strijd tegen online winkelen
De invloed van modernistische architectuur in Westerse stadscentra wordt de laatste jaren steeds groter. Zweeds onderzoek laat zien dat stadscentra juist veel meer profiteren van klassieke architec...
20
53"
online shopping,The relativism of modernism has forced science to research the obvious. New swedish research suggests that classical streetscapes can help cities centers combat online shopping. Who could have thought? gebiedsontwikkeling.nu Klassieke architectuur is h t wapen in de strijd tegen online winkelen De invloed van modernistische architectuur in Westerse stadscentra wordt de laatste jaren steeds groter. Zweeds onderzoek laat zien dat stadscentra juist veel meer profiteren van klassieke architec...,The premise entails the hypothesis modernism!,AGAINST,consumption_and_entertainment_domain,1,1,"The relativism of modernism has forced science to research the obvious. New swedish research suggests that classical streetscapes can help cities centers combat online shopping. Who could have thought?
gebiedsontwikkeling.nu
Klassieke architectuur is hét wapen in de strijd tegen online winkelen
De invloed van modernistische architectuur in Westerse stadscentra wordt de laatste jaren steeds groter. Zweeds onderzoek laat zien dat stadscentra juist veel meer profiteren van klassieke architec...
20
53"
NBA,Forgotten: Dwyane Wade getting whatever he wants in the 2011 NBA Finals vs the Mavs. What a force. Had a post game too.,The above text entails Dwyane Wade!,FAVOR,sports_domain,1,1,Forgotten: Dwyane Wade getting whatever he wants in the 2011 NBA Finals vs the Mavs. What a force. Had a post game too.
NBA,Forgotten: Dwyane Wade getting whatever he wants in the 2011 NBA Finals vs the Mavs. What a force. Had a post game too.,The premise has entailment relation with 2011 NBA Finals vs the Mavs!,NONE,sports_domain,1,1,Forgotten: Dwyane Wade getting whatever he wants in the 2011 NBA Finals vs the Mavs. What a force. Had a post game too.
environmental protection agency,"22 June 1969 52 years ago : The Cuyahoga River catches fire in Cleveland, Ohio, drawing national attention to water pollution, and spurring the passing of the Clean Water Act and the creation of the Environmental Protection Agency.",The premise has the entailment relation with the hypothesis The Cuyahoga River!,NONE,environmental_protection_domain,1,1,"22 June 1969 (52 years ago): The Cuyahoga River catches fire in Cleveland, Ohio, drawing national attention to water pollution, and spurring the passing of the Clean Water Act and the creation of the Environmental Protection Agency."
environmental protection agency,"22 June 1969 52 years ago : The Cuyahoga River catches fire in Cleveland, Ohio, drawing national attention to water pollution, and spurring the passing of the Clean Water Act and the creation of the Environmental Protection Agency.",The premise entails the hypothesis Environmental Protection Agency!,FAVOR,environmental_protection_domain,1,1,"22 June 1969 (52 years ago): The Cuyahoga River catches fire in Cleveland, Ohio, drawing national attention to water pollution, and spurring the passing of the Clean Water Act and the creation of the Environmental Protection Agency."
environmental protection agency,"22 June 1969 52 years ago : The Cuyahoga River catches fire in Cleveland, Ohio, drawing national attention to water pollution, and spurring the passing of the Clean Water Act and the creation of the Environmental Protection Agency.",The above text entails Clean Water Act!,FAVOR,environmental_protection_domain,1,1,"22 June 1969 (52 years ago): The Cuyahoga River catches fire in Cleveland, Ohio, drawing national attention to water pollution, and spurring the passing of the Clean Water Act and the creation of the Environmental Protection Agency."
presidential election,The Spokeswoman for White Rage would like a moment of your time to talk about the Presidential Election. From Ben Yahr,The premise entails the hypothesis White Rage!,NONE,politic,1,1,"The Spokeswoman for White Rage would like a moment of your time to talk about the Presidential Election. 
From 
Ben Yahr
2
12"
presidential election,The Spokeswoman for White Rage would like a moment of your time to talk about the Presidential Election. From Ben Yahr,The premise entails the hypothesis Presidential Election!,NONE,politic,1,1,"The Spokeswoman for White Rage would like a moment of your time to talk about the Presidential Election. 
From 
Ben Yahr
2
12"
NFL,"NFL players attempting to form a sentence after an 82 game season Unmistakable Latin Flavor PBSImpulse9 Jul 30 That man said he wanted an 82 game NFL season. He wants folks to DIE. Gotdamn. 190 7,631 51K",This implies the entailment relation with 82 game season!,NONE,sports_domain,1,1,"NFL players attempting to form a sentence after an 82 game season
Unmistakable Latin Flavor
@PBSImpulse9
·
Jul 30
That man said he wanted an 82 game NFL season. He wants folks to DIE. Gotdamn.
190
7,631
51K"
vegetarian,"HK style vote-buying tactic is coming to ! The tactic is locally known summarized as Snake feasts in the Winter, Vegetarian meals in the Summer, Mooncakes for the Mid-Autumn Festival Rice Dumplings for the Dragon Boat Festival 蛇齋餅糭 . Pls read!",This implies the entailment relation with HK style vote-buying tactic!,NONE,consumption_and_entertainment_domain,1,1," HK style vote-buying tactic is coming to ! 

The tactic is “locally known & summarized as “Snake feasts in the Winter, Vegetarian meals in the Summer, Mooncakes for the Mid-Autumn Festival & Rice Dumplings for the Dragon Boat Festival” (蛇齋餅糭).

Pls read!
4
72
98"
vegetarian,"HK style vote-buying tactic is coming to ! The tactic is locally known summarized as Snake feasts in the Winter, Vegetarian meals in the Summer, Mooncakes for the Mid-Autumn Festival Rice Dumplings for the Dragon Boat Festival 蛇齋餅糭 . Pls read!",This implies the entailment relation with Snake feasts!,NONE,consumption_and_entertainment_domain,1,1," HK style vote-buying tactic is coming to ! 

The tactic is “locally known & summarized as “Snake feasts in the Winter, Vegetarian meals in the Summer, Mooncakes for the Mid-Autumn Festival & Rice Dumplings for the Dragon Boat Festival” (蛇齋餅糭).

Pls read!
4
72
98"
men's football,Never thought I d see the day when England were more likely to win a men s football tournament than Roger Federer winning ... 5,The premise has entailment relation with England!,FAVOR,sports_domain,1,1,"Never thought I’d see the day when England were more likely to win a men’s football tournament than Roger Federer winning #Wimbledon ... 
5"
men's football,Never thought I d see the day when England were more likely to win a men s football tournament than Roger Federer winning ... 5,This implies the entailment relation with men's football tournament!,NONE,sports_domain,1,1,"Never thought I’d see the day when England were more likely to win a men’s football tournament than Roger Federer winning #Wimbledon ... 
5"
nuclear energy,"Two non-negotiables of any broad climate plan: - expand nuclear energy - find ways to get China to reduce emissions Without those 2, you won t get to the root of the problem.",This implies the entailment relation with nuclear energy!,FAVOR,environmental_protection_domain,1,1,"Two non-negotiables of any broad climate plan:

- expand nuclear energy
- find ways to get China to reduce emissions 

Without those 2, you won’t get to the root of the problem.
1
10"
nuclear energy,"Two non-negotiables of any broad climate plan: - expand nuclear energy - find ways to get China to reduce emissions Without those 2, you won t get to the root of the problem.",The above text entails China to reduce emissions!,FAVOR,environmental_protection_domain,1,1,"Two non-negotiables of any broad climate plan:

- expand nuclear energy
- find ways to get China to reduce emissions 

Without those 2, you won’t get to the root of the problem.
1
10"
politic,"Rep. Schiff: ""The President's lie was and is a dangerous cancer on the body politic. If you can convince Americans that they cannot trust their own elections, that anytime they lose, it is somehow illegitimate, then what is left but violence to determine who should govern?"" 21 389 1,298",This implies the entailment relation with body politic!,AGAINST,politic,1,1,"Rep. Schiff: ""The President's lie was — and is — a dangerous cancer on the body politic. If you can convince Americans that they cannot trust their own elections, that anytime they lose, it is somehow illegitimate, then what is left but violence to determine who should govern?""
21
389
1,298"
politic,"Rep. Schiff: ""The President's lie was and is a dangerous cancer on the body politic. If you can convince Americans that they cannot trust their own elections, that anytime they lose, it is somehow illegitimate, then what is left but violence to determine who should govern?"" 21 389 1,298",The premise has the entailment relation with the hypothesis elections!,NONE,politic,1,1,"Rep. Schiff: ""The President's lie was — and is — a dangerous cancer on the body politic. If you can convince Americans that they cannot trust their own elections, that anytime they lose, it is somehow illegitimate, then what is left but violence to determine who should govern?""
21
389
1,298"
mid-term election,Michael Moore announced tonight the Dems will be the winners in the mid-term election. Yes that Michael Moore.,The premise has the entailment relation with the hypothesis Michael Moore!,NONE,politic,1,1,"Michael Moore announced tonight the Dems will be the winners in the mid-term election. Yes that Michael Moore.
1
6"
mid-term election,Michael Moore announced tonight the Dems will be the winners in the mid-term election. Yes that Michael Moore.,The premise entails the hypothesis Dems!,FAVOR,politic,0,1,"Michael Moore announced tonight the Dems will be the winners in the mid-term election. Yes that Michael Moore.
1
6"
right wing,"A communist, who fled the country he helped destroy, getting upset that a right wing person entered the country he now lives in, on the day it celebrates its freedom from tyranny, is one of the all time great irony overloads on this here website.",The premise entails the hypothesis communist!,AGAINST,politic,1,1,"A communist, who fled the country he helped destroy, getting upset that a right wing person entered the country he now lives in, on the day it celebrates its freedom from tyranny, is one of the all time great irony overloads on this here website.
9
41
211"
right wing,"A communist, who fled the country he helped destroy, getting upset that a right wing person entered the country he now lives in, on the day it celebrates its freedom from tyranny, is one of the all time great irony overloads on this here website.",The premise entails the hypothesis tyranny!,AGAINST,politic,1,1,"A communist, who fled the country he helped destroy, getting upset that a right wing person entered the country he now lives in, on the day it celebrates its freedom from tyranny, is one of the all time great irony overloads on this here website.
9
41
211"
LGBTQ,"Raphael Warnock is proud to be an ally to the LGBTQ community! As a civil rights advocate, ReverendWarnock believes our nation s commitment to equality is sacred and that there s no such thing as equal rights for some Keep Raphael in the Senate",The premise has the entailment relation with the hypothesis LGBTQ community!,FAVOR,rights_domain,1,1,"Raphael Warnock is proud to be an ally to the LGBTQ+ community!

As a civil rights advocate, 
@ReverendWarnock
 believes our nation’s commitment to equality is sacred and that there’s no such thing “as equal rights for some” 

Keep Raphael in the Senate
#HappyPrideMonth 
#DemVoice1
3
70
97"
LGBTQ,"Raphael Warnock is proud to be an ally to the LGBTQ community! As a civil rights advocate, ReverendWarnock believes our nation s commitment to equality is sacred and that there s no such thing as equal rights for some Keep Raphael in the Senate",The premise has entailment relation with equal rights!,FAVOR,rights_domain,1,1,"Raphael Warnock is proud to be an ally to the LGBTQ+ community!

As a civil rights advocate, 
@ReverendWarnock
 believes our nation’s commitment to equality is sacred and that there’s no such thing “as equal rights for some” 

Keep Raphael in the Senate
#HappyPrideMonth 
#DemVoice1
3
70
97"
gun control,"Including the attack at a Tulsa Hospital today, we have had TWENTY Mass Shootings in just one week. Tell me GOP when is enough? Where is our gun control legislation.",The above text entails  Attack At A Tulsa Hospital!,AGAINST,rights_domain,1,1,"Including the attack at a Tulsa Hospital today, we have had TWENTY Mass Shootings in just one week.  Tell me GOP when is enough?  Where is our gun control legislation. #FreshWords
30
348
553"
gun control,"Including the attack at a Tulsa Hospital today, we have had TWENTY Mass Shootings in just one week. Tell me GOP when is enough? Where is our gun control legislation.",The premise has entailment relation with Mass Shootings!,AGAINST,rights_domain,1,1,"Including the attack at a Tulsa Hospital today, we have had TWENTY Mass Shootings in just one week.  Tell me GOP when is enough?  Where is our gun control legislation. #FreshWords
30
348
553"
gun control,"Including the attack at a Tulsa Hospital today, we have had TWENTY Mass Shootings in just one week. Tell me GOP when is enough? Where is our gun control legislation.",The premise has the entailment relation with the hypothesis GOP!,AGAINST,rights_domain,1,1,"Including the attack at a Tulsa Hospital today, we have had TWENTY Mass Shootings in just one week.  Tell me GOP when is enough?  Where is our gun control legislation. #FreshWords
30
348
553"
tictok,today was awesome. i worked on music and replied to a tiktok commenter for the first time. equal thrills 13,This implies the entailment relation with music!,FAVOR,consumption_and_entertainment_domain,1,1,"today was awesome. i worked on music and replied to a tiktok commenter for the first time. equal thrills
13"
tictok,today was awesome. i worked on music and replied to a tiktok commenter for the first time. equal thrills 13,The premise has entailment relation with tiktok commenter!,AGAINST,consumption_and_entertainment_domain,1,1,"today was awesome. i worked on music and replied to a tiktok commenter for the first time. equal thrills
13"
tictok,"saw a tiktok video with 4th gen groups, and enhypen was at the end. ofc, the best one always at the end",The premise has entailment relation with tiktok video!,NONE,consumption_and_entertainment_domain,1,1,"saw a tiktok video with 4th gen groups, and enhypen was at the end. ofc, the best one always at the end
2
9
137"
tictok,"saw a tiktok video with 4th gen groups, and enhypen was at the end. ofc, the best one always at the end",The premise has entailment relation with enhypen!,NONE,consumption_and_entertainment_domain,1,1,"saw a tiktok video with 4th gen groups, and enhypen was at the end. ofc, the best one always at the end
2
9
137"
women's rights,"If?? Best players in women s lacrosse right now are from Texas. Barstool Texas A M BarstoolTexasAM Jun 18, 2021 If lacrosse was popular in Texas I guarantee we d Texas a state dominate that sport",The above text entails women s lacrosse!,NONE,rights_domain,1,1,"If?? Best players in women’s lacrosse right now are from Texas.
Barstool Texas A&M
@BarstoolTexasAM
·
Jun 18, 2021
If lacrosse was popular in Texas I guarantee we’d (Texas a state) dominate that sport
2
2
12"
women's rights,"If?? Best players in women s lacrosse right now are from Texas. Barstool Texas A M BarstoolTexasAM Jun 18, 2021 If lacrosse was popular in Texas I guarantee we d Texas a state dominate that sport",The premise has entailment relation with Texas!,FAVOR,rights_domain,1,1,"If?? Best players in women’s lacrosse right now are from Texas.
Barstool Texas A&M
@BarstoolTexasAM
·
Jun 18, 2021
If lacrosse was popular in Texas I guarantee we’d (Texas a state) dominate that sport
2
2
12"
health insurance,As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect and wondered if metamorphosis was included in his group health insurance policy.,The premise has the entailment relation with the hypothesis Gregor Samsa!,NONE,consumption_and_entertainment_domain,1,1,"As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect —and wondered if metamorphosis was included in his group health insurance policy.
8
23"
health insurance,As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect and wondered if metamorphosis was included in his group health insurance policy.,The premise has entailment relation with metamorphosis!,NONE,consumption_and_entertainment_domain,1,1,"As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect —and wondered if metamorphosis was included in his group health insurance policy.
8
23"
health insurance,As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect and wondered if metamorphosis was included in his group health insurance policy.,The premise has entailment relation with health insurance policy!,NONE,consumption_and_entertainment_domain,1,1,"As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect —and wondered if metamorphosis was included in his group health insurance policy.
8
23"
reels,"Be yourself, keep calm and just chill. Reels astrostuffs, IGS bbrightvc The following media includes potentially sensitive content. Change settings View",The premise has the entailment relation with the hypothesis Reels!,FAVOR,consumption_and_entertainment_domain,1,1,"Be yourself, keep calm and just chill.

Reels astrostuffs, IGS bbrightvc

#AstroStuffs
#bbrightvc
The following media includes potentially sensitive content. Change settings
View
426
572"
reels,"Be yourself, keep calm and just chill. Reels astrostuffs, IGS bbrightvc The following media includes potentially sensitive content. Change settings View",The premise has entailment relation with sensitive content!,AGAINST,consumption_and_entertainment_domain,0,1,"Be yourself, keep calm and just chill.

Reels astrostuffs, IGS bbrightvc

#AstroStuffs
#bbrightvc
The following media includes potentially sensitive content. Change settings
View
426
572"
Ukraine,"Russian Defense Ministry Spokesperson Igor Konashenkov announced that forces in are pausing to rest and regain their combat capabilities, confirming ISW s assessment that Russian forces have initiated an operational pause. Full report:",The premise entails the hypothesis Igor Konashenkov!,NONE,world_event_domain,1,1,"Russian Defense Ministry Spokesperson Igor Konashenkov announced that #Russian forces in #Ukraine are pausing to rest and regain their combat capabilities, confirming ISW’s assessment that Russian forces have initiated an operational pause.

Full report: http://isw.pub/RusCampaignJuly7…
68
374
955"
Ukraine,"Russian Defense Ministry Spokesperson Igor Konashenkov announced that forces in are pausing to rest and regain their combat capabilities, confirming ISW s assessment that Russian forces have initiated an operational pause. Full report:",The premise has the entailment relation with the hypothesis Russian Forces!,NONE,world_event_domain,1,1,"Russian Defense Ministry Spokesperson Igor Konashenkov announced that #Russian forces in #Ukraine are pausing to rest and regain their combat capabilities, confirming ISW’s assessment that Russian forces have initiated an operational pause.

Full report: http://isw.pub/RusCampaignJuly7…
68
374
955"
clean energy,1. What started as an investigatory effort at the height of the pandemic has evolved into an expanded business portfolio in the form of our renewable energy subsidiary Oando Clean Energy Limited OCEL .,The above text entails renewable energy subsidiary!,FAVOR,environmental_protection_domain,1,1,"1. What started as an investigatory effort at the height of the pandemic has evolved into an expanded business portfolio in the form of our renewable energy subsidiary Oando Clean Energy Limited (OCEL). 

#OandoRoadToNetZero #OandoCleanEnergy
6
13
37"
clean energy,1. What started as an investigatory effort at the height of the pandemic has evolved into an expanded business portfolio in the form of our renewable energy subsidiary Oando Clean Energy Limited OCEL .,The above text entails pandemic!,AGAINST,environmental_protection_domain,0,1,"1. What started as an investigatory effort at the height of the pandemic has evolved into an expanded business portfolio in the form of our renewable energy subsidiary Oando Clean Energy Limited (OCEL). 

#OandoRoadToNetZero #OandoCleanEnergy
6
13
37"
world news,"No Internet or WiFi needed. No apps or subscriptions. No passwords. No cookies or tracking. Works in a power outage. Live, local, regional, national and world news and information that is reliable and accurate. Commercial-free options. 50 one-time payment. Get one of these:",The above text entails WiFi!,AGAINST,world_event_domain,1,1,"No Internet or WiFi needed. 
No apps or subscriptions.
No passwords.
No cookies or tracking.
Works in a power outage.
Live, local, regional, national and world news and information that is reliable and accurate. 
Commercial-free options.
$50 one-time payment.
Get one of these:
45
43
355"
