Keywords,Text,Target 1,Stance 1,Domain,In Use,seen?,Ori Text
online shopping,anxiety disorders are the worst cause I spent 45 minutes online shopping and got so stressed out that now I need a nap 8,Anxiety Disorders,AGAINST,consumption_and_entertainment_domain,1,1,"anxiety disorders are the worst cause I spent 45 minutes online shopping and got so stressed out that now I need a nap
8"
online shopping,anxiety disorders are the worst cause I spent 45 minutes online shopping and got so stressed out that now I need a nap 8,Online Shopping,AGAINST,consumption_and_entertainment_domain,1,1,"anxiety disorders are the worst cause I spent 45 minutes online shopping and got so stressed out that now I need a nap
8"
world cup,"you close twt for two mins on a weekday and suddenly bts is flying to wh for a meeting with potus, suddenly j-hope is headlining lollapalooza and suddenly bts is about to fly to qatar for a possible fifa world cup performance..... BOOKED AND BUSY",bts,NONE,sports_domain,1,1,"you close twt for two mins on a weekday and suddenly bts is flying to wh for a meeting with potus, suddenly j-hope is headlining lollapalooza and suddenly bts is about to fly to qatar for a possible fifa world cup performance..... BOOKED AND BUSY
1
14
67"
world cup,"you close twt for two mins on a weekday and suddenly bts is flying to wh for a meeting with potus, suddenly j-hope is headlining lollapalooza and suddenly bts is about to fly to qatar for a possible fifa world cup performance..... BOOKED AND BUSY",potus,NONE,sports_domain,1,1,"you close twt for two mins on a weekday and suddenly bts is flying to wh for a meeting with potus, suddenly j-hope is headlining lollapalooza and suddenly bts is about to fly to qatar for a possible fifa world cup performance..... BOOKED AND BUSY
1
14
67"
world cup,"you close twt for two mins on a weekday and suddenly bts is flying to wh for a meeting with potus, suddenly j-hope is headlining lollapalooza and suddenly bts is about to fly to qatar for a possible fifa world cup performance..... BOOKED AND BUSY",fifa world cup,NONE,sports_domain,1,1,"you close twt for two mins on a weekday and suddenly bts is flying to wh for a meeting with potus, suddenly j-hope is headlining lollapalooza and suddenly bts is about to fly to qatar for a possible fifa world cup performance..... BOOKED AND BUSY
1
14
67"
presidential election,"TEXAS: The Texas bar association is investigating whether state Attorney General Ken Paxton s efforts to overturn the 2020 presidential election based on real claims of election fraud, though unsuccessful were enough to award their prestigious Patriot of the Year Award.",Texas bar association,NONE,politic,1,1,"TEXAS: The Texas bar association is investigating whether state Attorney General Ken Paxton’s efforts to overturn the 2020 presidential election based on real claims of election fraud, though unsuccessful were enough to award their prestigious Patriot of the Year Award.
2
1"
presidential election,"TEXAS: The Texas bar association is investigating whether state Attorney General Ken Paxton s efforts to overturn the 2020 presidential election based on real claims of election fraud, though unsuccessful were enough to award their prestigious Patriot of the Year Award.",2020 presidential election,AGAINST,politic,1,1,"TEXAS: The Texas bar association is investigating whether state Attorney General Ken Paxton’s efforts to overturn the 2020 presidential election based on real claims of election fraud, though unsuccessful were enough to award their prestigious Patriot of the Year Award.
2
1"
presidential election,"TEXAS: The Texas bar association is investigating whether state Attorney General Ken Paxton s efforts to overturn the 2020 presidential election based on real claims of election fraud, though unsuccessful were enough to award their prestigious Patriot of the Year Award.",Election Fraud,AGAINST,politic,1,1,"TEXAS: The Texas bar association is investigating whether state Attorney General Ken Paxton’s efforts to overturn the 2020 presidential election based on real claims of election fraud, though unsuccessful were enough to award their prestigious Patriot of the Year Award.
2
1"
Disney,"Courtney was not being nice, she was body shaming liv and hating on her for being on disney, also liv did post about her inspiration which are horror movies such as Carrie, jawbreaker, Jennifer s body. The View TheView Jun 28, 2021 COURTNEY LOVE SAYS SINGER COPIED ALBUM COVER: Grunge music icon Courtney Love is upset at pop singer Olivia Rodrigo, accusing her of copying the 1994 album cover of Love s old band Hole without giving them the proper credit the co-hosts weigh in.",Courtney Love,NONE,consumption_and_entertainment_domain,1,1,"Courtney was not being nice, she was body shaming liv and hating on her for being on disney, also liv did post about her inspiration which are horror movies such as Carrie, jawbreaker, Jennifer’s body.
The View
@TheView
·
Jun 28, 2021
COURTNEY LOVE SAYS SINGER COPIED ALBUM COVER: Grunge music icon Courtney Love is upset at pop singer Olivia Rodrigo, accusing her of copying the 1994 album cover of Love’s old band Hole without giving them the proper credit — the co-hosts weigh in. http://abcn.ws/2RiH3wd
5
28"
Disney,"Courtney was not being nice, she was body shaming liv and hating on her for being on disney, also liv did post about her inspiration which are horror movies such as Carrie, jawbreaker, Jennifer s body. The View TheView Jun 28, 2021 COURTNEY LOVE SAYS SINGER COPIED ALBUM COVER: Grunge music icon Courtney Love is upset at pop singer Olivia Rodrigo, accusing her of copying the 1994 album cover of Love s old band Hole without giving them the proper credit the co-hosts weigh in.",Olivia Rodrigo,NONE,consumption_and_entertainment_domain,0,1,"Courtney was not being nice, she was body shaming liv and hating on her for being on disney, also liv did post about her inspiration which are horror movies such as Carrie, jawbreaker, Jennifer’s body.
The View
@TheView
·
Jun 28, 2021
COURTNEY LOVE SAYS SINGER COPIED ALBUM COVER: Grunge music icon Courtney Love is upset at pop singer Olivia Rodrigo, accusing her of copying the 1994 album cover of Love’s old band Hole without giving them the proper credit — the co-hosts weigh in. http://abcn.ws/2RiH3wd
5
28"
democrat,"If only Democrats took tips from Secretary Pete Buttigieg on how to masterfully deliver messaging in just a few minutes time. 49 417 2,883",Pete Buttigieg,NONE,politic,1,1,"If only Democrats took tips from Secretary Pete Buttigieg on how to masterfully deliver messaging in just a few minutes time.
49
417
2,883"
democrat,"If only Democrats took tips from Secretary Pete Buttigieg on how to masterfully deliver messaging in just a few minutes time. 49 417 2,883",Democrats,FAVOR,politic,1,1,"If only Democrats took tips from Secretary Pete Buttigieg on how to masterfully deliver messaging in just a few minutes time.
49
417
2,883"
racism,"If the Royal Family s racism puts them at risk, maybe they should stop being racist. Quit blaming the victims.",racism,AGAINST,rights_domain,1,1,"If the Royal Family’s racism puts them at risk, maybe they should stop being racist. Quit blaming the victims. #CamillaTomineyIsALiar #RacistRoyalFamily #RacistBritishMedia
29
82
526"
racism,"If the Royal Family s racism puts them at risk, maybe they should stop being racist. Quit blaming the victims.",victims,FAVOR,rights_domain,1,1,"If the Royal Family’s racism puts them at risk, maybe they should stop being racist. Quit blaming the victims. #CamillaTomineyIsALiar #RacistRoyalFamily #RacistBritishMedia
29
82
526"
clean energy,"I see your ""Putin price hike,"" and raise you your own words talking about how you'd be willing to sacrifice economic growth, and watch the working classes suffer in order to transition to ""clean energy."" Erick Erickson EWErickson Jun 11, 2022 Joe Biden said he was willing to see people hurt economically to get us off fossil fuels. Your high gas prices are all part of his plan. Don't believe me. Just listen to him.",Putin,FAVOR,environmental_protection_domain,1,1,"I see your ""Putin price hike,"" and raise you your own words talking about how you'd be willing to sacrifice economic growth, and watch the working classes suffer in order to transition to ""clean energy.""
Erick Erickson
@EWErickson
·
Jun 11, 2022
Joe Biden said he was willing to see people hurt economically to get us off fossil fuels.  Your high gas prices are all part of his plan.  Don't believe me.  Just listen to him.
1
2"
clean energy,"I see your ""Putin price hike,"" and raise you your own words talking about how you'd be willing to sacrifice economic growth, and watch the working classes suffer in order to transition to ""clean energy."" Erick Erickson EWErickson Jun 11, 2022 Joe Biden said he was willing to see people hurt economically to get us off fossil fuels. Your high gas prices are all part of his plan. Don't believe me. Just listen to him.",Economic growth,AGAINST,environmental_protection_domain,1,1,"I see your ""Putin price hike,"" and raise you your own words talking about how you'd be willing to sacrifice economic growth, and watch the working classes suffer in order to transition to ""clean energy.""
Erick Erickson
@EWErickson
·
Jun 11, 2022
Joe Biden said he was willing to see people hurt economically to get us off fossil fuels.  Your high gas prices are all part of his plan.  Don't believe me.  Just listen to him.
1
2"
clean energy,"I see your ""Putin price hike,"" and raise you your own words talking about how you'd be willing to sacrifice economic growth, and watch the working classes suffer in order to transition to ""clean energy."" Erick Erickson EWErickson Jun 11, 2022 Joe Biden said he was willing to see people hurt economically to get us off fossil fuels. Your high gas prices are all part of his plan. Don't believe me. Just listen to him.",Gas prices,AGAINST,environmental_protection_domain,1,1,"I see your ""Putin price hike,"" and raise you your own words talking about how you'd be willing to sacrifice economic growth, and watch the working classes suffer in order to transition to ""clean energy.""
Erick Erickson
@EWErickson
·
Jun 11, 2022
Joe Biden said he was willing to see people hurt economically to get us off fossil fuels.  Your high gas prices are all part of his plan.  Don't believe me.  Just listen to him.
1
2"
climate change,"Just once I'd like a press gallery hack to challenge the statement ""action on climate change"". It's totally dishonest. At best, a politician can ""take action"" on domestic emissions. Reducing a 1 contribution to global emissions is not ""acting"" on anything. Cut the BS.",climate change,AGAINST,environmental_protection_domain,1,1,"Just once I'd like a press gallery hack to challenge the statement ""action on climate change"".
It's totally dishonest.
At best, a politician can ""take action"" on domestic emissions.
Reducing a 1% contribution to global emissions is not ""acting"" on anything.
Cut the BS.
#auspol
5
10"
climate change,"Just once I'd like a press gallery hack to challenge the statement ""action on climate change"". It's totally dishonest. At best, a politician can ""take action"" on domestic emissions. Reducing a 1 contribution to global emissions is not ""acting"" on anything. Cut the BS.",global emissions,FAVOR,environmental_protection_domain,1,1,"Just once I'd like a press gallery hack to challenge the statement ""action on climate change"".
It's totally dishonest.
At best, a politician can ""take action"" on domestic emissions.
Reducing a 1% contribution to global emissions is not ""acting"" on anything.
Cut the BS.
#auspol
5
10"
mid-term election,We seem to be reaching critical mass with this mid-term election. In my life I have never seen so many really disturbed candidates. There is no other way to look at the GOP and their 'offerings' as being anti-democracy. This shit ain't real...but they believe it.,Mid-term Election,NONE,politic,1,1,"We seem to be reaching critical mass with this mid-term election. In my life I have never seen so many really disturbed candidates. There is no other way to look at the GOP and their 'offerings' as being anti-democracy.

This shit ain't real...but they believe it.

#MorningJoe
1
6
13"
mid-term election,We seem to be reaching critical mass with this mid-term election. In my life I have never seen so many really disturbed candidates. There is no other way to look at the GOP and their 'offerings' as being anti-democracy. This shit ain't real...but they believe it.,GOP,AGAINST,politic,1,1,"We seem to be reaching critical mass with this mid-term election. In my life I have never seen so many really disturbed candidates. There is no other way to look at the GOP and their 'offerings' as being anti-democracy.

This shit ain't real...but they believe it.

#MorningJoe
1
6
13"
mid-term election,We seem to be reaching critical mass with this mid-term election. In my life I have never seen so many really disturbed candidates. There is no other way to look at the GOP and their 'offerings' as being anti-democracy. This shit ain't real...but they believe it.,Anti-Democracy,AGAINST,politic,1,1,"We seem to be reaching critical mass with this mid-term election. In my life I have never seen so many really disturbed candidates. There is no other way to look at the GOP and their 'offerings' as being anti-democracy.

This shit ain't real...but they believe it.

#MorningJoe
1
6
13"
China,10 for the big guy. How much was sent to Ukraine? Biden sends 5 million barrels of oil from our strategic Reserves to China is a scandal clearly impeachable.Our country is in a crisis he gives oil to our enemy.Has there been anything said on the floor of the senate abt this?,Biden,AGAINST,world_event_domain,0,1,"10% for the big guy. How much was sent to Ukraine? Biden sends 5 million barrels of oil from our strategic Reserves to China is a scandal & clearly impeachable.Our country is in a crisis & he gives oil to our enemy.Has there been anything said on the floor of the senate abt this?
8
7
12"
China,10 for the big guy. How much was sent to Ukraine? Biden sends 5 million barrels of oil from our strategic Reserves to China is a scandal clearly impeachable.Our country is in a crisis he gives oil to our enemy.Has there been anything said on the floor of the senate abt this?,5 million barrels of oil,NONE,world_event_domain,1,1,"10% for the big guy. How much was sent to Ukraine? Biden sends 5 million barrels of oil from our strategic Reserves to China is a scandal & clearly impeachable.Our country is in a crisis & he gives oil to our enemy.Has there been anything said on the floor of the senate abt this?
8
7
12"
China,10 for the big guy. How much was sent to Ukraine? Biden sends 5 million barrels of oil from our strategic Reserves to China is a scandal clearly impeachable.Our country is in a crisis he gives oil to our enemy.Has there been anything said on the floor of the senate abt this?,China,AGAINST,world_event_domain,0,1,"10% for the big guy. How much was sent to Ukraine? Biden sends 5 million barrels of oil from our strategic Reserves to China is a scandal & clearly impeachable.Our country is in a crisis & he gives oil to our enemy.Has there been anything said on the floor of the senate abt this?
8
7
12"
tictok,u guys make fun of your grandparents for passing around fake info in whatsapp gcs believing conspiracy theories in facebook but turn around and get all your info from tiktok. u two are different sides of the same stupid coin!,grandparents,FAVOR,consumption_and_entertainment_domain,0,1,"u guys make fun of your grandparents for passing around fake info in whatsapp gcs & believing conspiracy theories in facebook but turn around and get all your info from tiktok. u two are different sides of the same stupid coin!
3
239
782"
tictok,u guys make fun of your grandparents for passing around fake info in whatsapp gcs believing conspiracy theories in facebook but turn around and get all your info from tiktok. u two are different sides of the same stupid coin!,whatsapp gcs,AGAINST,consumption_and_entertainment_domain,1,1,"u guys make fun of your grandparents for passing around fake info in whatsapp gcs & believing conspiracy theories in facebook but turn around and get all your info from tiktok. u two are different sides of the same stupid coin!
3
239
782"
private education,Chanhee said that private education is very expensive so he thinks it needs a program to supplement public education,private education,AGAINST,education_and_culture_domain,1,1,"Chanhee said that private education is very expensive so he thinks it needs a program to supplement public education
51
137"
democracy,"Shameful! Facing the crisis of the century election officials performed above and beyond all expectations, accommodating the largest voter turnout of the century. They are the unsung heroes of democracy. David Levine davidalanlevine Jun 7, 2021 Election officials played a critical role in helping safeguard the integrity of Yet, instead of receiving praise for these efforts, far too many are instead experiencing threats, abuse harassment, and have either left or are considering leaving the profession. Show this thread",century election officials,FAVOR,politic,1,1,"Shameful!  Facing the crisis of the century election officials performed above and beyond all expectations, accommodating the largest voter turnout of the century.  They are the unsung heroes of democracy.
David Levine
@davidalanlevine
·
Jun 7, 2021
Election officials played a critical role in helping safeguard the integrity of #election2020. Yet, instead of receiving praise for these efforts, far too many are instead experiencing threats, abuse & harassment, and have either left or are considering leaving the profession.
Show this thread
6
9"
democracy,"Shameful! Facing the crisis of the century election officials performed above and beyond all expectations, accommodating the largest voter turnout of the century. They are the unsung heroes of democracy. David Levine davidalanlevine Jun 7, 2021 Election officials played a critical role in helping safeguard the integrity of Yet, instead of receiving praise for these efforts, far too many are instead experiencing threats, abuse harassment, and have either left or are considering leaving the profession. Show this thread",democracy,FAVOR,politic,1,1,"Shameful!  Facing the crisis of the century election officials performed above and beyond all expectations, accommodating the largest voter turnout of the century.  They are the unsung heroes of democracy.
David Levine
@davidalanlevine
·
Jun 7, 2021
Election officials played a critical role in helping safeguard the integrity of #election2020. Yet, instead of receiving praise for these efforts, far too many are instead experiencing threats, abuse & harassment, and have either left or are considering leaving the profession.
Show this thread
6
9"
politic,"E don tey wey we don dey face political rogbodiyan for this our dear countryall i can say is make sure you vote for the right person in this coming election,thanks Yansh Mohbad Busted Olamide",election,NONE,politic,1,1,"E don tey wey we don dey face political  rogbodiyan for this our dear countryall i can say is make sure you vote for the right person in this coming election,thanks 

#politic Yansh #yansh Mohbad #Mohbad Busted #Busted Olamide #olamide #seyi #APC
12
57
86"
politic,"E don tey wey we don dey face political rogbodiyan for this our dear countryall i can say is make sure you vote for the right person in this coming election,thanks Yansh Mohbad Busted Olamide",country,NONE,politic,0,1,"E don tey wey we don dey face political  rogbodiyan for this our dear countryall i can say is make sure you vote for the right person in this coming election,thanks 

#politic Yansh #yansh Mohbad #Mohbad Busted #Busted Olamide #olamide #seyi #APC
12
57
86"
government,"Speers just said Marise Payne had said ""this is the government's position"" re climate change targets - when she had repeatedly refused to say that instead kept repeating ""This is what Scott Morrison said""- as distinct from ""the governent's position."" Speers is an absolute clown",Speers,AGAINST,politic,1,1,"Speers just said Marise Payne had said ""this is the government's position"" re climate change targets - when she had repeatedly refused to say that & instead kept repeating ""This is what Scott Morrison said""- as distinct from ""the governent's position."" Speers is an absolute clown
2
21"
government,"Speers just said Marise Payne had said ""this is the government's position"" re climate change targets - when she had repeatedly refused to say that instead kept repeating ""This is what Scott Morrison said""- as distinct from ""the governent's position."" Speers is an absolute clown",Marise Payne,NONE,politic,1,1,"Speers just said Marise Payne had said ""this is the government's position"" re climate change targets - when she had repeatedly refused to say that & instead kept repeating ""This is what Scott Morrison said""- as distinct from ""the governent's position."" Speers is an absolute clown
2
21"
women's football,W for Florida Football vs FSU W for Florida Men's Basketball vs FSU W for Florida Women's Basketball vs FSU It's Great to be a Florida Gator!,FSU W,NONE,sports_domain,1,1,"W for Florida Football vs FSU 
W for Florida Men's Basketball vs FSU 
W for Florida Women's Basketball vs FSU 

It's Great to be a Florida Gator! #GoGators
4
70
465"
women's football,W for Florida Football vs FSU W for Florida Men's Basketball vs FSU W for Florida Women's Basketball vs FSU It's Great to be a Florida Gator!,Florida Gator,FAVOR,sports_domain,1,1,"W for Florida Football vs FSU 
W for Florida Men's Basketball vs FSU 
W for Florida Women's Basketball vs FSU 

It's Great to be a Florida Gator! #GoGators
4
70
465"
BLM,"CityofDavis council members Gloriapartida1 Will Arnold LucasFrerichs1 Dan Carson, Josh Chapman like to show up to BLM protests and then turn around and quietly increase the police department budget year after year.",BLM Protests,FAVOR,rights_domain,1,1,"@CityofDavis
 council members (
@Gloriapartida1
 @Will_Arnold
 @LucasFrerichs1
 Dan Carson, Josh Chapman) like to show up to BLM protests and then turn around and quietly increase the police department budget year after year.
1
3
4"
BLM,"CityofDavis council members Gloriapartida1 Will Arnold LucasFrerichs1 Dan Carson, Josh Chapman like to show up to BLM protests and then turn around and quietly increase the police department budget year after year.",Police Department Budget,FAVOR,rights_domain,1,1,"@CityofDavis
 council members (
@Gloriapartida1
 @Will_Arnold
 @LucasFrerichs1
 Dan Carson, Josh Chapman) like to show up to BLM protests and then turn around and quietly increase the police department budget year after year.
1
3
4"
electric vihicles,Great ride! Stellantis shows us the future of electric vehicles with this Jeep Wrangler 4xe plug-in hybrid!,Stellantis,FAVOR,environmental_protection_domain,1,1,"Great ride! 
@Stellantis
 shows us the future of electric vehicles with this Jeep Wrangler 4xe plug-in hybrid!
6
23
92"
electric vihicles,Great ride! Stellantis shows us the future of electric vehicles with this Jeep Wrangler 4xe plug-in hybrid!,electric vehicles,FAVOR,environmental_protection_domain,1,1,"Great ride! 
@Stellantis
 shows us the future of electric vehicles with this Jeep Wrangler 4xe plug-in hybrid!
6
23
92"
electric vihicles,Great ride! Stellantis shows us the future of electric vehicles with this Jeep Wrangler 4xe plug-in hybrid!,Jeep Wrangler,FAVOR,environmental_protection_domain,1,1,"Great ride! 
@Stellantis
 shows us the future of electric vehicles with this Jeep Wrangler 4xe plug-in hybrid!
6
23
92"
Disney,"I was so prepared for to disappoint with regard to my favorite bad girl, but Emma Stone cast knocked it out of the park!! Just confused about why disney released so close to the movie when they are nothing alike! 1",Emma stone,FAVOR,consumption_and_entertainment_domain,1,1,"I was so prepared for #Cruella to disappoint with regard to my favorite bad girl, but #whoa Emma Stone & cast knocked it out of the park!! Just confused about why 
@disney
 released #hellocruelheart so close to the movie when they are nothing alike!
1"
Disney,"I was so prepared for to disappoint with regard to my favorite bad girl, but Emma Stone cast knocked it out of the park!! Just confused about why disney released so close to the movie when they are nothing alike! 1",Disney,NONE,consumption_and_entertainment_domain,1,1,"I was so prepared for #Cruella to disappoint with regard to my favorite bad girl, but #whoa Emma Stone & cast knocked it out of the park!! Just confused about why 
@disney
 released #hellocruelheart so close to the movie when they are nothing alike!
1"
government,Your government should provide the basic material necessities and basically stay the fuck out of every other part of your life,Basic Material Necessities,FAVOR,politic,1,1,"Your government should provide the basic material necessities and basically stay the fuck out of every other part of your life
10
6
88"
government,Your government should provide the basic material necessities and basically stay the fuck out of every other part of your life,Government,AGAINST,politic,0,1,"Your government should provide the basic material necessities and basically stay the fuck out of every other part of your life
10
6
88"
iphone,My phone iphone just called Emergency Services on 112 and set off an alarm- I wasn't even touching it. I had to apologise to this poor man as my phone froze and it could only be hung up on his side of the call. Has this ever happened to anyone else?,iphone,NONE,consumption_and_entertainment_domain,1,1,"My phone (iphone) just called Emergency Services on 112 and set off an alarm- I wasn't even touching it. I had to apologise to this poor man as my phone froze and it could only be hung up on his side of the call. Has this ever happened to anyone else?
7
7
13"
iphone,My phone iphone just called Emergency Services on 112 and set off an alarm- I wasn't even touching it. I had to apologise to this poor man as my phone froze and it could only be hung up on his side of the call. Has this ever happened to anyone else?,Emergency Services,NONE,consumption_and_entertainment_domain,1,1,"My phone (iphone) just called Emergency Services on 112 and set off an alarm- I wasn't even touching it. I had to apologise to this poor man as my phone froze and it could only be hung up on his side of the call. Has this ever happened to anyone else?
7
7
13"
asian hate,"10 Black people murdered in Buffalo 21 Latino people murdered in Texas An Asian hate crime bill is introduced... It's an intentionally blatant insult, and a preemptive measure. As the country is being taken over, the bill is readily in place to put anyone in prison who rebels",Latino people,NONE,rights_domain,1,1,"10 Black people murdered in Buffalo
21 Latino people murdered in Texas

An Asian hate crime bill is introduced...

It's an intentionally blatant insult, and a preemptive measure. As the country is being taken over, the bill is readily in place to put anyone in prison who rebels
1
3
7"
asian hate,"10 Black people murdered in Buffalo 21 Latino people murdered in Texas An Asian hate crime bill is introduced... It's an intentionally blatant insult, and a preemptive measure. As the country is being taken over, the bill is readily in place to put anyone in prison who rebels",Asian hate crime bill,FAVOR,rights_domain,1,1,"10 Black people murdered in Buffalo
21 Latino people murdered in Texas

An Asian hate crime bill is introduced...

It's an intentionally blatant insult, and a preemptive measure. As the country is being taken over, the bill is readily in place to put anyone in prison who rebels
1
3
7"
mid-term election,"In the mid-term election Vt's only House seat is open. Several Dems running in the primary. In the last debate, all emphasized reaching across the isle bipartisanship and finding moderate Reps! WTF! Reach a across the isle and the Reps will cut your hand off and let",Vt,NONE,politic,1,1,"In the mid-term election Vt's only House seat is open. Several Dems running in the primary. In the last debate, all emphasized reaching across the isle bipartisanship and finding moderate Reps! WTF! Reach a across the isle and the Reps will cut your hand off and let"
mid-term election,"In the mid-term election Vt's only House seat is open. Several Dems running in the primary. In the last debate, all emphasized reaching across the isle bipartisanship and finding moderate Reps! WTF! Reach a across the isle and the Reps will cut your hand off and let",Dems,NONE,politic,0,1,"In the mid-term election Vt's only House seat is open. Several Dems running in the primary. In the last debate, all emphasized reaching across the isle bipartisanship and finding moderate Reps! WTF! Reach a across the isle and the Reps will cut your hand off and let"
mid-term election,"In the mid-term election Vt's only House seat is open. Several Dems running in the primary. In the last debate, all emphasized reaching across the isle bipartisanship and finding moderate Reps! WTF! Reach a across the isle and the Reps will cut your hand off and let",isle bipartisanship,FAVOR,politic,1,1,"In the mid-term election Vt's only House seat is open. Several Dems running in the primary. In the last debate, all emphasized reaching across the isle bipartisanship and finding moderate Reps! WTF! Reach a across the isle and the Reps will cut your hand off and let"
reels,"This korean guy spitting facts ""FIRST OF ALL, IU IS POPULAR AMONGST KOREANS. PERIOD."" P.s he's not even a Uaena cttro: IG reels 3 399 1,155",IU,FAVOR,consumption_and_entertainment_domain,1,1,"This korean guy spitting facts 

""FIRST OF ALL, IU IS POPULAR AMONGST KOREANS. PERIOD.""

P.s he's not even a Uaena 
(cttro: IG reels)
#IU #아이유 #LeeJieun #Uaena
3
399
1,155"
shut down coal plants,"Want to learn about efforts to shut down the last coal plant in the northeast? Join our mass call tomorrow night at 7 pm: nocoalnogas.org September Mass Call! No Coal, No Gas",coal plant,AGAINST,environmental_protection_domain,1,1,"Want to learn about efforts to shut down the last coal plant in the northeast? Join our mass call tomorrow night at 7 pm:
nocoalnogas.org
September Mass Call! — No Coal, No Gas
4
8"
shut down coal plants,"Want to learn about efforts to shut down the last coal plant in the northeast? Join our mass call tomorrow night at 7 pm: nocoalnogas.org September Mass Call! No Coal, No Gas",Northeast,NONE,environmental_protection_domain,1,1,"Want to learn about efforts to shut down the last coal plant in the northeast? Join our mass call tomorrow night at 7 pm:
nocoalnogas.org
September Mass Call! — No Coal, No Gas
4
8"
equal rights,"Suresh Chavhanke while addressing a crowd at ""Hindu Mahapanchayat"" in Delhi said that he is against equal rights and that ""Muslims"" in India should get the same rights that ""Hindus"" have in Pakistan. Suresh is the ""editor-in-chief"" of an Indian right-wing ""news channel."" 195 753 1,612",Hindu Mahapanchayat,AGAINST,rights_domain,1,1,"Suresh Chavhanke while addressing a crowd at ""Hindu Mahapanchayat"" in Delhi said that he is against equal rights and that ""Muslims"" in India should get the same rights that ""Hindus"" have in Pakistan.

Suresh is the ""editor-in-chief"" of an Indian right-wing ""news channel.""
195
753
1,612"
equal rights,"Suresh Chavhanke while addressing a crowd at ""Hindu Mahapanchayat"" in Delhi said that he is against equal rights and that ""Muslims"" in India should get the same rights that ""Hindus"" have in Pakistan. Suresh is the ""editor-in-chief"" of an Indian right-wing ""news channel."" 195 753 1,612",editor-in-chief,AGAINST,rights_domain,1,1,"Suresh Chavhanke while addressing a crowd at ""Hindu Mahapanchayat"" in Delhi said that he is against equal rights and that ""Muslims"" in India should get the same rights that ""Hindus"" have in Pakistan.

Suresh is the ""editor-in-chief"" of an Indian right-wing ""news channel.""
195
753
1,612"
electric vihicles,Cheap and plentiful gas means NO ELECTRIC VEHICLES. Thank a Democrat for low supply and high gas prices.,ELECTRIC VEHICLES,FAVOR,environmental_protection_domain,1,1,"Cheap and plentiful gas means NO ELECTRIC VEHICLES. Thank a Democrat for low supply and high gas prices.
1
5"
electric vihicles,Cheap and plentiful gas means NO ELECTRIC VEHICLES. Thank a Democrat for low supply and high gas prices.,Democrat,AGAINST,environmental_protection_domain,1,1,"Cheap and plentiful gas means NO ELECTRIC VEHICLES. Thank a Democrat for low supply and high gas prices.
1
5"
government,"The government jackboots are at it again. First they audit your Cayman Islands bank account, then they take the confidential documents out of your golf hotel, then they seize your three passports. A working man can t get ahead in this country",The government jackboots,AGAINST,politic,1,1,"The government jackboots are at it again. First they audit your Cayman Islands bank account, then they take the confidential documents out of your golf hotel, then they seize your three passports. A working man can’t get ahead in this country
6
75
411"
government,"The government jackboots are at it again. First they audit your Cayman Islands bank account, then they take the confidential documents out of your golf hotel, then they seize your three passports. A working man can t get ahead in this country",working man,AGAINST,politic,1,1,"The government jackboots are at it again. First they audit your Cayman Islands bank account, then they take the confidential documents out of your golf hotel, then they seize your three passports. A working man can’t get ahead in this country
6
75
411"
democrat,"It took a Democrat House, Senate and Executive branch only 8 months to destroy the America we once knew. 327 3,507 16.5K",Democrat House,AGAINST,politic,1,1,"It took a Democrat House, Senate and Executive branch only 8 months to destroy the America we once knew.
327
3,507
16.5K"
democrat,"It took a Democrat House, Senate and Executive branch only 8 months to destroy the America we once knew. 327 3,507 16.5K",Senate,AGAINST,politic,0,1,"It took a Democrat House, Senate and Executive branch only 8 months to destroy the America we once knew.
327
3,507
16.5K"
democrat,"It took a Democrat House, Senate and Executive branch only 8 months to destroy the America we once knew. 327 3,507 16.5K",America,FAVOR,politic,0,1,"It took a Democrat House, Senate and Executive branch only 8 months to destroy the America we once knew.
327
3,507
16.5K"
right wing,"EXACTLY! Biden did EVERYTHING right, but the right-wing propaganda machine has fooled too many Americans, and left us all STUCK in a dangerous pandemic FOR NO REASON",Biden,FAVOR,politic,0,1,"EXACTLY! Biden did EVERYTHING right, but the right-wing propaganda machine has fooled too many Americans, and left us all STUCK in a dangerous pandemic FOR NO REASON 
9
46
131"
right wing,"EXACTLY! Biden did EVERYTHING right, but the right-wing propaganda machine has fooled too many Americans, and left us all STUCK in a dangerous pandemic FOR NO REASON",right-wing propaganda machine,AGAINST,politic,1,1,"EXACTLY! Biden did EVERYTHING right, but the right-wing propaganda machine has fooled too many Americans, and left us all STUCK in a dangerous pandemic FOR NO REASON 
9
46
131"
leftists,"1. Having worked with these jokers for over a decade I can tell you without a bit of exaggeration that the secular leftist journalist is inherently cowardly. While hatred for Hinduism, greed, bribes dictate their journalism, they have an irrational fear of fundamentalist Muslims.",Leftist Journalist,AGAINST,politic,1,1,"1. Having worked with these jokers for over a decade I can tell you without a bit of exaggeration that the secular/leftist journalist is inherently cowardly. While hatred for Hinduism, greed, bribes dictate their journalism, they have an irrational fear of fundamentalist Muslims.
23
375
872"
